name,link,new_price,old_price,reviews,characteristics
Ноутбук ASUS Laptop X515JA-BQ4176,https://rozetka.com.ua/ua/asus-90nb0sr1-m02yz0/p371199345/,25499,29999,5,"(90NB0SR1-M02YZ0) Slate Grey / 15.6"" IPS Full HD / Intel Core i7-1065G7 / RAM 16 ГБ / SSD 1 ТБ"
Ноутбук Acer Aspire 5 A515-57G-37UE,https://rozetka.com.ua/ua/acer-nxk9teu004/p359979255/,25999,29999,25,"(NX.K9TEU.004) Steel Gray / Intel Core i3-1220P / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 2050, 4 ГБ"
Ноутбук HP Laptop 17-cp0035ua,https://rozetka.com.ua/ua/hp-4a7p3ea/p345457435/,28999,30999,7,(4A7P3EA) Natural Silver / AMD Ryzen 7 5700U / RAM 16 ГБ / SSD 512 ГБ
Ноутбук Lenovo IdeaPad Slim 5 16IAH8,https://rozetka.com.ua/ua/lenovo-83bg001ara/p379912026/,27999,32999,2,"(83BG001ARA) Cloud Grey / 16"" IPS WUXGA / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ"
Ноутбук ASUS ROG Strix G17 2023 G713PI-HX049,https://rozetka.com.ua/ua/asus-90nr0gg4-m005t0/p385973961/,78999,94999,,"(90NR0GG4-M005T0) Eclipse Gray / 17.3"" IPS Full HD 144 Гц / AMD Ryzen 9 7845HX / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 4070"
Ноутбук Acer Swift 1 SF114-34-P1A1,https://rozetka.com.ua/ua/acer_nx_a77eu_00v/p282363393/,15555,19999,65,(NX.A77EU.00V) Pure Silver / Intel Pentium Silver N6000 / RAM 8 ГБ / SSD 256 ГБ
Ноутбук HP Victus 15-fb0006ua,https://rozetka.com.ua/ua/hp-6g6w3ea/p388206213/,37999,39999,,"(6G6W3EA) Performance Blue / AMD Ryzen 5 5600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ"
Ноутбук Lenovo IdeaPad 1 15IGL7,https://rozetka.com.ua/ua/lenovo-82v7006tra/p363053574/,13799,14599,6,(82V7006TRA) Cloud Grey / Intel Pentium Silver N5030 / RAM 8 ГБ / SSD 512 ГБ
Ноутбук ASUS TUF Gaming F15 FX506LHB-HN326,https://rozetka.com.ua/ua/asus-90nr03u2-m008f0/p363970554/,28499,32499,19,"(90NR03U2-M008F0) Bonfire Black / 15.6"" IPS Full HD 144 Гц / Intel Core i5-10300H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650 + Рюкзак ASUS TUF Gaming backpack"
Ноутбук Acer Aspire 5 A515-56-54B2,https://rozetka.com.ua/ua/acer-nxa8neu001/p367531242/,24999,29999,25,(NX.A8NEU.001) Glacier Blue / Intel Core i5-1135G7 / RAM 16 ГБ / SSD 512 ГБ
Ноутбук HP Laptop 17-cp0036ua,https://rozetka.com.ua/ua/hp-4a7p4ea/p373682910/,25999,28999,4,(4A7P4EA) Natural Silver / AMD Ryzen 5 5500U / RAM 16 ГБ / SSD 512 ГБ
Ноутбук Lenovo IdeaPad Gaming 3 15IHU6,https://rozetka.com.ua/ua/lenovo-82k101fjra/p350001258/,25999,34999,52,"(82K101FJRA) Shadow Black / 15.6"" IPS Full HD / Intel Core i5-11320H / RAM 8 ГБ / SSD 256 ГБ / nVidia GeForce GTX 1650"
